Cover Distance,Minimal Distance for Cover Elevation of 5m,10m,15m,20m,25m,30m,35m,40m,45m,50m
100,4700,6510,7920,9050,10030,10880,11630,12280,12840,13320
200,2950,4290,5370,6230,7000,7700,8300,8870,9390,9860
300,2280,3300,4190,4940,5590,6170,6690,7180,7640,8050
400,1960,2790,3510,4160,4750,5260,5720,6050,6540,6920
500,1800,2500,3100,3650,4160,4640,5080,5460,5810,6150
600,1720,2300,2820,3320,3770,4190,4590,4950,5290,5590
700,1670,2180,2640,3090,3480,3870,4220,4560,4880,5180
800,1680,2120,2530,2930,3290,3620,3960,4260,4560,4840
900,1690,2080,2460,2800,3140,3450,3740,4030,4300,4560
1000,1720,2060,2400,2730,3040,3320,3590,3850,4120,4360